Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,0,0,0,1,0,5849,0,477,360,1,1,1
LP001003,0,1,1,1,0,4583,1508,128,360,1,0,0
LP001005,0,1,0,1,1,3000,0,66,360,1,1,1
LP001006,0,1,0,0,0,2583,2358,120,360,1,1,1
LP001008,0,0,0,1,0,6000,0,141,360,1,1,1
LP001011,0,1,2,1,1,5417,4196,267,360,1,1,1
LP001013,0,1,0,0,0,2333,1516,95,360,1,1,1
LP001014,0,1,3,1,0,3036,2504,158,360,0,0,0
LP001018,0,1,2,1,0,4006,1526,168,360,1,1,1
LP001020,0,1,1,1,0,12841,10968,349,360,1,1,0
LP001024,0,1,2,1,0,3200,700,70,360,1,1,1
LP001027,0,1,2,1,0,2500,1840,109,360,1,1,1
LP001028,0,1,2,1,0,3073,8106,200,360,1,1,1
LP001029,0,0,0,1,0,1853,2840,114,360,1,0,0
LP001030,0,1,2,1,0,1299,1086,17,120,1,1,1
LP001032,0,0,0,1,0,4950,0,125,360,1,1,1
LP001034,0,0,1,0,0,3596,0,100,240,1,1,1
LP001036,1,0,0,1,0,3510,0,76,360,0,1,0
LP001038,0,1,0,0,0,4887,0,133,360,1,0,0
LP001041,0,1,0,1,0,2600,3500,115,360,1,1,1
LP001043,0,1,0,0,0,7660,0,104,360,0,1,0
LP001046,0,1,1,1,0,5955,5625,315,360,1,1,1
LP001047,0,1,0,0,0,2600,1911,116,360,0,0,0
LP001050,1,1,2,0,0,3365,1917,112,360,0,0,0
LP001052,0,1,1,1,0,3717,2925,151,360,1,0,0
LP001066,0,1,0,1,1,9560,0,191,360,1,0,1
LP001068,0,1,0,1,0,2799,2253,122,360,1,1,1
LP001073,0,1,2,0,0,4226,1040,110,360,1,1,1
LP001086,0,0,0,0,0,1442,0,35,360,1,1,0
LP001087,1,0,2,1,1,3750,2083,120,360,1,0,1
LP001091,0,1,1,1,0,4166,3369,201,360,1,1,0
LP001095,0,0,0,1,0,3167,0,74,360,1,1,0
LP001097,0,0,1,1,1,4692,0,106,360,1,0,0
LP001098,0,1,0,1,0,3500,1667,114,360,1,0,1
LP001100,0,0,3,1,0,12500,3000,320,360,1,0,0
LP001106,0,1,0,1,0,2275,2067,6334,360,1,1,1
LP001109,0,1,0,1,0,1828,1330,100,180,0,1,0
LP001112,1,1,0,1,0,3667,1459,144,360,1,1,1
LP001114,0,0,0,1,0,4166,7210,184,360,1,1,1
LP001116,0,0,0,0,0,3748,1668,110,360,1,0,1
LP001119,0,0,0,1,0,3600,0,80,360,1,1,0
LP001120,0,0,0,1,0,1800,1213,47,360,1,1,1
LP001123,0,1,0,1,0,2400,0,75,360,0,1,1
LP001131,0,1,0,1,0,3941,2336,134,360,1,0,1
LP001136,0,1,0,0,1,4695,0,96,360,1,1,1
LP001137,1,0,0,1,0,3410,0,88,120,1,1,1
LP001138,0,1,1,1,0,5649,0,44,360,1,1,1
LP001144,0,1,0,1,0,5821,0,144,360,1,1,1
LP001146,1,1,0,1,0,2645,3440,120,360,0,1,0
LP001151,1,0,0,1,0,4000,2275,144,360,1,0,1
LP001155,1,1,0,0,0,1928,1644,100,360,1,1,1
LP001157,1,0,0,1,0,3086,0,120,360,1,0,1
LP001164,1,0,0,1,0,4230,0,112,360,1,0,0
LP001179,0,1,2,1,0,4616,0,134,360,1,1,0
LP001186,1,1,1,1,1,11500,0,286,360,0,1,0
LP001194,0,1,2,1,0,2708,1167,97,360,1,0,1
LP001195,0,1,0,1,0,2132,1591,96,360,1,0,1
LP001197,0,1,0,1,0,3366,2200,135,360,1,0,0
LP001198,0,1,1,1,0,8080,2250,180,360,1,1,1
LP001199,0,1,2,0,0,3357,2859,144,360,1,1,1
LP001205,0,1,0,1,0,2500,3796,120,360,1,1,1
LP001206,0,1,3,1,0,3029,0,99,360,1,1,1
LP001207,0,1,0,0,1,2609,3449,165,180,0,0,0
LP001213,0,1,1,1,0,4945,0,234,360,0,0,0
LP001222,1,0,0,1,0,4166,0,116,360,0,0,0
LP001225,0,1,0,1,0,5726,4595,258,360,1,1,0
LP001228,0,0,0,0,0,3200,2254,126,180,0,1,0
LP001233,0,1,1,1,0,10750,0,312,360,1,1,1
LP001238,0,1,3,0,1,7100,0,125,60,1,1,1
LP001241,1,0,0,1,0,4300,0,136,360,0,0,0
LP001243,0,1,0,1,0,3208,3066,172,360,1,1,1
LP001245,0,1,2,0,1,1875,1875,97,360,1,0,1
LP001248,0,0,0,1,0,3500,0,81,300,1,0,1
LP001250,0,1,3,0,0,4755,0,95,240,0,0,0
LP001253,0,1,3,1,1,5266,1774,187,360,1,0,1
LP001255,0,0,0,1,0,3750,0,113,480,1,1,0
LP001256,0,0,0,1,0,3750,4750,176,360,1,1,0
LP001259,0,1,1,1,1,1000,3022,110,360,1,1,0
LP001263,0,1,3,1,0,3167,4000,180,300,0,0,0
LP001264,0,1,3,0,1,3333,2166,130,360,1,0,1
LP001265,1,0,0,1,0,3846,0,111,360,1,1,1
LP001266,0,1,1,1,1,2395,0,786,360,1,0,1
LP001267,1,1,2,1,0,1378,1881,167,360,1,1,0
LP001273,0,1,0,1,0,6000,2250,265,360,1,1,0
LP001275,0,1,1,1,0,3988,0,50,240,1,1,1
LP001279,0,0,0,1,0,2366,2531,136,360,1,0,1
LP001280,0,1,2,0,0,3333,2000,99,360,1,1,1
LP001282,0,1,0,1,0,2500,2118,104,360,1,1,1
LP001289,0,0,0,1,0,8566,0,210,360,1,1,1
LP001310,0,1,0,1,0,5695,4167,175,360,1,0,1
LP001316,0,1,0,1,0,2958,2900,131,360,1,1,1
LP001318,0,1,2,1,0,6250,5654,188,180,1,0,1
LP001319,0,1,2,0,0,3273,1820,81,360,1,1,1
LP001322,0,0,0,1,0,4133,0,122,360,1,1,1
LP001325,0,0,0,0,0,3620,0,25,120,1,0,1
LP001326,0,0,0,1,1,6782,0,5500,360,1,1,0
LP001327,1,1,0,1,0,2484,2302,137,360,1,1,1
LP001333,0,1,0,1,0,1977,997,50,360,1,1,1
LP001334,0,1,0,0,0,4188,0,115,180,1,0,1
LP001343,0,1,0,1,0,1759,3541,131,360,1,1,1
LP001345,0,1,2,0,0,4288,3263,133,180,1,1,1
LP001349,0,0,0,1,0,4843,3806,151,360,1,0,1
LP001350,0,1,1,1,0,13650,0,456,360,1,1,1
LP001356,0,1,0,1,0,4652,3583,1200,360,1,0,1
LP001357,0,0,0,1,0,3816,754,160,360,1,1,1
LP001367,0,1,1,1,0,3052,1030,100,360,1,1,1
LP001369,0,1,2,1,0,11417,1126,225,360,1,1,1
LP001370,0,0,0,0,1,7333,0,120,360,1,0,0
LP001379,0,1,2,1,0,3800,3600,216,360,0,1,0
LP001384,0,1,3,0,0,2071,754,94,480,1,0,1
LP001385,0,0,0,1,0,5316,0,136,360,1,1,1
LP001387,1,1,0,1,0,2929,2333,139,360,1,1,1
LP001391,0,1,0,0,0,3572,4114,152,120,0,0,0
LP001392,1,0,1,1,1,7451,0,765,360,1,0,1
LP001398,0,0,0,1,1,5050,0,118,360,1,1,1
LP001401,0,1,1,1,0,14583,0,185,180,1,0,1
LP001404,1,1,0,1,0,3167,2283,154,360,1,0,1
LP001405,0,1,1,1,0,2214,1398,85,360,0,1,1
LP001421,0,1,0,1,0,5568,2142,175,360,1,0,0
LP001422,1,0,0,1,0,10408,0,259,360,1,1,1
LP001426,0,1,1,1,0,5667,2667,180,360,1,0,1
LP001430,1,0,0,1,0,4166,0,44,360,1,1,1
LP001431,1,0,0,1,0,2137,8980,137,360,0,0,1
LP001432,0,1,2,1,0,2957,0,81,360,1,1,1
LP001439,0,1,0,0,0,4300,2014,194,360,1,0,1
LP001443,1,0,0,1,0,3692,0,93,360,0,0,1
LP001448,1,1,3,1,0,23803,0,370,360,1,0,1
LP001449,0,0,0,1,0,3865,1640,76,360,1,0,1
LP001451,0,1,1,1,1,10513,3850,160,180,0,1,0
LP001465,0,1,0,1,0,6080,2569,182,360,1,0,0
LP001469,0,0,0,1,1,20166,0,650,480,1,1,1
LP001473,0,0,0,1,0,2014,1929,74,360,1,1,1
LP001478,0,0,0,1,0,2718,0,70,360,1,1,1
LP001482,0,1,0,1,1,3459,0,25,120,1,1,1
LP001487,0,0,0,1,0,4895,0,102,360,1,0,1
LP001488,0,1,3,1,0,4000,7750,290,360,1,0,0
LP001489,1,1,0,1,0,4583,0,84,360,1,0,0
LP001491,0,1,2,1,1,3316,3500,88,360,1,1,1
LP001492,0,0,0,1,0,14999,0,242,360,0,0,0
LP001493,0,1,2,0,0,4200,1430,129,360,1,0,0
LP001497,0,1,2,1,0,5042,2083,185,360,1,0,0
LP001498,0,0,0,1,0,5417,0,168,360,1,1,1
LP001504,0,0,0,1,1,6950,0,175,180,1,0,1
LP001507,0,1,0,1,0,2698,2034,122,360,1,1,1
LP001508,0,1,2,1,0,11757,0,187,180,1,1,1
LP001514,1,1,0,1,0,2330,4486,100,360,1,0,1
LP001516,1,1,2,1,0,14866,0,70,360,1,1,1
LP001518,0,1,1,1,0,1538,1425,30,360,1,1,1
LP001519,1,0,0,1,0,10000,1666,225,360,1,0,0
LP001520,0,1,0,1,0,4860,830,125,360,1,1,1
LP001528,0,0,0,1,0,6277,0,118,360,0,0,0
LP001529,0,1,0,1,1,2577,3750,152,360,1,0,1
LP001531,0,0,0,1,0,9166,0,244,360,1,1,0
LP001532,0,1,2,0,0,2281,0,113,360,1,0,0
LP001535,0,0,0,1,0,3254,0,50,360,1,1,1
LP001536,0,1,3,1,0,39999,0,600,180,0,0,1
LP001541,0,1,1,1,0,6000,0,160,360,1,0,1
LP001543,0,1,1,1,0,9538,0,187,360,1,1,1
LP001546,0,0,0,1,1,2980,2083,120,360,1,0,1
LP001552,0,1,0,1,0,4583,5625,255,360,1,1,1
LP001560,0,1,0,0,0,1863,1041,98,360,1,0,1
LP001562,0,1,0,1,0,7933,0,275,360,1,1,0
LP001565,0,1,1,1,0,3089,1280,121,360,0,0,0
LP001570,0,1,2,1,0,4167,1447,158,360,1,0,1
LP001572,0,1,0,1,0,9323,0,75,180,1,1,1
LP001574,0,1,0,1,0,3707,3166,182,120,1,0,1
LP001577,1,1,0,1,0,4583,0,112,360,1,0,0
LP001578,0,1,0,1,0,2439,3333,129,360,1,0,1
LP001579,0,0,0,1,0,2237,0,63,480,0,0,0
LP001580,0,1,2,1,0,8000,0,200,360,1,1,1
LP001581,0,1,0,0,1,1820,1769,95,360,1,0,1
LP001585,1,1,3,1,0,51763,0,700,300,1,1,1
LP001586,0,1,3,0,0,3522,0,81,180,1,0,0
LP001594,0,1,0,1,0,5708,5625,187,360,1,0,1
LP001603,0,1,0,0,1,4344,736,87,360,1,1,0
LP001606,0,1,0,1,0,3497,1964,116,360,1,0,1
LP001608,0,1,2,1,0,2045,1619,101,360,1,0,1
LP001610,0,1,3,1,0,5516,11300,495,360,0,0,0
LP001616,0,1,1,1,0,3750,0,116,360,1,0,1
LP001630,0,0,0,0,0,2333,1451,102,480,0,1,0
LP001633,0,1,1,1,0,6400,7250,180,360,0,1,0
LP001634,0,0,0,1,0,1916,5063,67,360,1,0,0
LP001636,0,1,0,1,0,4600,0,73,180,1,0,1
LP001637,0,1,1,1,0,33846,0,260,360,1,1,0
LP001639,1,1,0,1,0,3625,0,108,360,1,0,1
LP001640,0,1,0,1,1,39147,4750,120,360,1,1,1
LP001641,0,1,1,1,1,2178,0,66,300,0,0,0
LP001643,0,1,0,1,0,2383,2138,58,360,1,0,1
LP001644,1,1,0,1,1,674,5296,168,360,1,0,1
LP001647,0,1,0,1,0,9328,0,188,180,1,0,1
LP001653,0,0,0,0,0,4885,0,48,360,1,0,1
LP001656,0,0,0,1,0,12000,0,164,360,1,0,0
LP001657,0,1,0,0,0,6033,0,160,360,1,1,0
LP001658,0,0,0,1,0,3858,0,76,360,1,0,1
LP001664,0,0,0,1,0,4191,0,120,360,1,0,1
LP001665,0,1,1,1,0,3125,2583,170,360,1,0,0
LP001666,0,0,0,1,0,8333,3750,187,360,1,0,1
LP001669,1,0,0,0,0,1907,2365,120,360,1,1,1
LP001671,1,1,0,1,0,3416,2816,113,360,1,0,1
LP001673,0,0,0,1,1,11000,0,83,360,1,1,0
LP001674,0,1,1,0,0,2600,2500,90,360,1,1,1
LP001677,0,0,2,1,0,4923,0,166,360,0,1,1
LP001682,0,1,3,0,0,3992,0,478,180,1,1,0
LP001688,0,1,1,0,0,3500,1083,135,360,1,1,1
LP001691,0,1,2,0,0,3917,0,124,360,1,1,1
LP001692,1,0,0,0,0,4408,0,120,360,1,1,1
LP001693,1,0,0,1,0,3244,0,80,360,1,1,1
LP001698,0,0,0,0,0,3975,2531,55,360,1,0,1
LP001699,0,0,0,1,0,2479,0,59,360,1,1,1
LP001702,0,0,0,1,0,3418,0,127,360,1,0,0
LP001708,1,0,0,1,0,10000,0,214,360,1,0,0
LP001711,0,1,3,1,0,3430,1250,128,360,0,0,0
LP001713,0,1,1,1,1,7787,0,240,360,1,1,1
LP001715,0,1,3,0,1,5703,0,130,360,1,0,1
LP001716,0,1,0,1,0,3173,3021,137,360,1,1,1
LP001720,0,1,3,0,0,3850,983,100,360,1,1,1
LP001722,0,1,0,1,0,150,1800,135,360,1,0,0
LP001726,0,1,0,1,0,3727,1775,131,360,1,0,1
LP001732,0,1,2,1,0,5000,0,72,360,0,0,0
LP001734,1,1,2,1,0,4283,2383,127,360,1,1,1
LP001736,0,1,0,1,0,2221,0,60,360,0,1,0
LP001743,0,1,2,1,0,4009,1717,116,360,1,1,1
LP001744,0,0,0,1,0,2971,2791,144,360,1,0,1
LP001749,0,1,0,1,0,7578,1010,175,240,1,0,1
LP001750,0,1,0,1,0,6250,0,128,360,1,1,1
LP001751,0,1,0,1,0,3250,0,170,360,1,0,0
LP001754,0,1,0,0,1,4735,0,138,360,1,1,0
LP001758,0,1,2,1,0,6250,1695,210,360,1,0,1
LP001760,0,0,0,1,0,4758,0,158,480,1,0,1
LP001761,0,0,0,1,1,6400,0,200,360,1,0,1
LP001765,0,1,1,1,0,2491,2054,104,360,1,1,1
LP001768,0,1,0,1,0,3716,0,42,180,1,0,1
LP001770,0,0,0,0,0,3189,2598,120,60,1,0,1
LP001776,1,0,0,1,0,8333,0,280,360,1,0,1
LP001778,0,1,1,1,0,3155,1779,140,360,1,1,1
LP001784,0,1,1,1,0,5500,1260,170,360,1,0,1
LP001786,0,1,0,1,1,5746,0,255,360,1,1,0
LP001788,1,0,0,1,1,3463,0,122,360,1,1,1
LP001790,1,0,1,1,0,3812,0,112,360,1,0,1
LP001792,0,1,1,1,0,3315,0,96,360,1,0,1
LP001798,0,1,2,1,0,5819,5000,120,360,1,0,1
LP001800,0,1,1,0,0,2510,1983,140,180,1,1,0
LP001806,0,0,0,1,0,2965,5701,155,60,1,1,1
LP001807,0,1,2,1,1,6250,1300,108,360,1,0,1
LP001811,0,1,0,0,0,3406,4417,123,360,1,0,1
LP001813,0,0,0,1,1,6050,4333,120,180,1,1,0
LP001814,0,1,2,1,0,9703,0,112,360,1,1,1
LP001819,0,1,1,0,0,6608,0,137,180,1,1,1
LP001824,0,1,1,1,0,2882,1843,123,480,1,0,1
LP001825,0,1,0,1,0,1809,1868,90,360,1,1,1
LP001835,0,1,0,0,0,1668,3890,201,360,0,1,0
LP001836,1,0,2,1,0,3427,0,138,360,1,1,0
LP001841,0,0,0,0,1,2583,2167,104,360,1,0,1
LP001843,0,1,1,0,0,2661,7101,279,180,1,0,1
LP001844,0,0,0,1,1,16250,0,192,360,0,1,0
LP001846,1,0,3,1,0,3083,0,255,360,1,0,1
LP001849,0,0,0,0,0,6045,0,115,360,0,0,0
LP001854,0,1,3,1,0,5250,0,94,360,1,1,0
LP001859,0,1,0,1,0,14683,2100,304,360,1,0,0
LP001864,0,1,3,0,0,4931,0,128,360,1,1,0
LP001865,0,1,1,1,0,6083,4250,330,360,0,1,1
LP001868,0,0,0,1,0,2060,2209,134,360,1,0,1
LP001870,1,0,1,1,0,3481,0,155,36,1,1,0
LP001871,1,0,0,1,0,7200,0,120,360,1,0,1
LP001872,0,0,0,1,1,5166,0,128,360,1,0,1
LP001875,0,0,0,1,0,4095,3447,151,360,1,0,1
LP001877,0,1,2,1,0,4708,1387,150,360,1,1,1
LP001882,0,1,3,1,0,4333,1811,160,360,0,1,1
LP001883,1,0,0,1,1,3418,0,135,360,1,0,0
LP001884,1,0,1,1,0,2876,1560,90,360,1,1,1
LP001888,1,0,0,1,0,3237,0,30,360,1,1,1
LP001891,0,1,0,1,0,11146,0,136,360,1,1,1
LP001892,0,0,0,1,0,2833,1857,126,360,1,0,1
LP001894,0,1,0,1,0,2620,2223,150,360,1,1,1
LP001896,0,1,2,1,0,3900,0,90,360,1,0,1
LP001900,0,1,1,1,0,2750,1842,115,360,1,0,1
LP001903,0,1,0,1,0,3993,3274,207,360,1,1,1
LP001904,0,1,0,1,0,3103,1300,80,360,1,1,1
LP001907,0,1,0,1,0,14583,0,436,360,1,1,1
LP001908,1,1,0,0,0,4100,0,124,360,1,0,1
LP001910,0,0,1,0,1,4053,2426,158,360,0,1,0
LP001914,0,1,0,1,0,3927,800,112,360,1,0,1
LP001915,0,1,2,1,0,2301,985.7999878,78,180,1,1,1
LP001917,1,0,0,1,0,1811,1666,54,360,1,1,1
LP001922,0,1,0,1,0,20667,0,980,360,1,0,0
LP001924,0,0,0,1,0,3158,3053,89,360,1,0,1
LP001925,1,0,0,1,1,2600,1717,99,300,1,1,0
LP001926,0,1,0,1,0,3704,2000,120,360,1,0,1
LP001931,1,0,0,1,0,4124,0,115,360,1,0,1
LP001935,0,0,0,1,0,9508,0,187,360,1,0,1
LP001936,0,1,0,1,0,3075,2416,139,360,1,0,1
LP001938,0,1,2,1,0,4400,0,127,360,0,0,0
LP001940,0,1,2,1,0,3153,1560,134,360,1,1,1
LP001945,1,0,0,1,0,5417,0,143,480,0,1,0
LP001947,0,1,0,1,0,2383,3334,172,360,1,1,1
LP001949,0,1,3,1,0,4416,1250,110,360,1,1,1
LP001953,0,1,1,1,0,6875,0,200,360,1,0,1
LP001954,1,1,1,1,0,4666,0,135,360,1,1,1
LP001955,1,0,0,1,0,5000,2541,151,480,1,0,0
LP001963,0,1,1,1,0,2014,2925,113,360,1,1,0
LP001964,0,1,0,0,0,1800,2934,93,360,0,1,0
LP001972,0,1,2,0,0,2875,1750,105,360,1,1,1
LP001974,1,0,0,1,0,5000,0,132,360,1,0,1
LP001977,0,1,1,1,0,1625,1803,96,360,1,1,1
